,dt,activity_count,daily_new_cases,cumulative_cases,daily_new_deaths,cumulative_deaths
322,2021-11-19,230,1117855,256294024,14677,5153430
323,2021-11-20,179,493171,256787195,6422,5159852
324,2021-11-21,118,429268,257216463,5147,5164999
325,2021-11-22,170,378861,257595324,5202,5170201
326,2021-11-23,210,419137,258014461,6501,5176702
327,2021-11-24,378,584722,258599183,6930,5183632
328,2021-11-25,731,548464,259147647,6802,5190434
329,2021-11-26,455,1223234,260370881,14930,5205364
330,2021-11-27,450,509079,260879960,6286,5211650
331,2021-11-28,362,448065,261328025,5748,5217398
332,2021-11-29,675,393253,261721278,5394,5222792
333,2021-11-30,499,417733,262139011,6256,5229048
334,2021-12-01,298,555098,262694109,6468,5235516
335,2021-12-02,540,566288,263260397,6764,5242280
336,2021-12-03,366,1178583,264438980,13687,5255967
337,2021-12-04,579,543082,264982062,6381,5262348
338,2021-12-05,297,471440,265453502,7700,5270048
339,2021-12-06,367,404430,265857932,5083,5275131
340,2021-12-07,606,412337,266270269,6047,5281178
341,2021-12-08,1055,553043,266823312,6205,5287383
342,2021-12-09,575,572630,267395942,6288,5293671
343,2021-12-10,314,1385633,268781575,17759,5311430
344,2021-12-11,350,526591,269308166,5976,5317406
345,2021-12-12,331,467300,269775466,4948,5322354
346,2021-12-13,232,417664,270193130,4825,5327179
347,2021-12-14,353,410534,270603664,5721,5332900
348,2021-12-15,291,584604,271188268,5897,5338797
349,2021-12-16,171,605776,271794044,5913,5344710
350,2021-12-17,267,1467303,273261347,15565,5360275
351,2021-12-18,171,578275,273839622,5396,5365671
352,2021-12-19,194,528429,274368051,4526,5370197
353,2021-12-20,249,447188,274815239,4286,5374483
354,2021-12-21,212,449498,275264737,5670,5380153
355,2021-12-22,151,666388,275931125,5717,5385870
356,2021-12-23,148,735045,276666170,5540,5391410
357,2021-12-24,177,1934310,278600480,17006,5408416
358,2021-12-25,135,759910,279360390,4847,5413263
359,2021-12-26,113,671698,280032088,3895,5417158
360,2021-12-27,135,468885,280500973,4181,5421339
361,2021-12-28,82,624568,281125541,4774,5426113
362,2021-12-29,135,1119560,282245101,5546,5431659
363,2021-12-30,191,1256573,283501674,5480,5437139
364,2021-12-31,181,3513250,287014924,15119,5452258
365,2022-01-01,123,1386794,288401718,4964,5457222
366,2022-01-02,110,1172657,289574375,3595,5460817
367,2022-01-03,119,831316,290405691,3842,5464659
368,2022-01-04,148,1074100,291479791,4484,5469143
369,2022-01-05,135,1754378,293234169,5771,5474914
370,2022-01-06,124,2055260,295289429,5376,5480290
371,2022-01-07,112,6072718,301362147,14594,5494884
372,2022-01-08,140,1834909,303197056,4838,5499722
373,2022-01-09,101,1898214,305095270,4374,5504096
374,2022-01-10,89,1763338,306858608,4059,5508155
375,2022-01-11,169,1573694,308432302,5397,5513552
376,2022-01-12,115,2302308,310734610,6142,5519694
377,2022-01-13,113,2428461,313163071,6254,5525948
378,2022-01-14,116,7804774,320967845,18699,5544647
